P_NAME,HOST_NAME,DISCOVERY_METHOD,P_PERIOD,P_SEMI_MAJOR_AXIS,P_RADIUS,P_MASS,P_DENSITY,P_ECCENTRICITY,P_TEMP_EQUIL,P_INCLINATION,S_TEMPERATURE,S_RADIUS,S_MASS
WASP-22 b,WASP-22,Transit,3.53269,0.0468,12.554,177.9848,0.53,0.023,1430,89.2,6000,1.13,1.1
WASP-22 b,WASP-22,Transit,3.53273064,0.0489,13.44,196.10111,0.444,,1502,88.6,6153,1.25,1.25
WASP-22 b,WASP-22,Transit,3.5326897,,,,,,,,6000,1.24,1.46
WASP-22 b,WASP-22,Transit,3.53272912,,,,,,,88.6,6000,1.13,1.1
WASP-22 b,WASP-22,Transit,3.53269,,13.787,212.9461,,0.02,,89.2,6000,1.24,1.46
WASP-23 b,WASP-23,Transit,2.94442836,,12.79,,,,1077,,5150,0.89,
WASP-23 b,WASP-23,Transit,2.9444256,0.0376,10.783,280.95,,0.062,,88.39,5150,0.77,0.78
WASP-23 b,WASP-23,Transit,2.94442732,,,,,,,,5150,0.77,0.78
WASP-23 b,WASP-23,Transit,2.9444276,,,,,,,,,,
WASP-23 b,WASP-23,Transit,2.94443,0.037,10.783,279.37257,1.17,0.065,,88.39,5150,0.77,0.78
WASP-23 b,WASP-23,Transit,2.9444273,,,,,,,88.4,5150,0.77,0.78
WASP-24 b,WASP-24,Transit,2.3412217,0.03607,14.572,336.8998,0.597,0.0046,,83.64,6080,1.33,1.15
WASP-24 b,WASP-24,Transit,2.3412127,,,,,0,,83.64,6075,,
WASP-24 b,WASP-24,Transit,2.3412205,,,,,,,83.9,6075,1.33,1.18
WASP-24 b,WASP-24,Transit,2.34121,,15.468,394.1092,,0,,83.64,6075,1.42,1.43
WASP-24 b,WASP-24,Transit,2.34122166,,,,,,,,,,
WASP-24 b,WASP-24,Transit,2.34121242,0.03651,14.571,340.382,0.648,0,,83.64,6075,1.33,1.18
WASP-24 b,WASP-24,Transit,2.3412202,,,,,,,,6075,1.33,1.18
WASP-24 b,WASP-24,Transit,2.3409909,,15.499,,,,1540,,6090,1.35,
WASP-24 b,WASP-24,Transit,,,,355.65177,,0.0033,,,,,1.18
WASP-24 b,WASP-24,Transit,2.3412217,0.03635,14.605,352.47347,0.622,,1772,83.87,6107,1.32,1.17
WASP-25 b,WASP-25,Transit,3.76483368,,,,,,,88.275,,,
WASP-25 b,WASP-25,Transit,3.76483342,,,,,,,88.1,5703,0.92,1
WASP-25 b,WASP-25,Transit,3.76483312,,,,,,,,,,
WASP-25 b,WASP-25,Transit,3.764873,,13.952,,,,1109,,5703,0.92,
WASP-25 b,WASP-25,Transit,3.7648304,,,,,,,,5750,0.8,0.67
WASP-25 b,WASP-25,Transit,3.7648334,,,,,,,,5703,0.92,1
WASP-25 b,WASP-25,Transit,3.764825,0.0473,13.675,184.334,0.422,0,,88,5703,0.92,1
WASP-25 b,WASP-25,Transit,3.764825,0.0473,13.675,184.3414,,0,,88,5750,0.92,1
WASP-25 b,WASP-25,Transit,3.7648327,0.04738,13.675,182.43442,0.406,0.083,,88,5750,0.92,1
WASP-25 b,WASP-25,Transit,3.7648327,0.04819,13.978,190.06234,0.382,,1210,88.12,5736,0.92,1.05
WASP-25 b,WASP-25,Transit,3.76483,,11.994,139.8452,,0,,88,5750,0.8,0.67
WASP-26 b,WASP-26,Transit,2.75659784,,,,,,,,,,
WASP-26 b,WASP-26,Transit,2.7566,0.04,14.796,324.18498,0.58353,0,1660,82.5,5950,1.34,1.12
WASP-26 b,WASP-26,Transit,2.7566,,13.563,270.1555,,0,,82.5,6034,1.22,0.86
WASP-26 b,WASP-26,Transit,,,,,,,,,,,
WASP-26 b,WASP-26,Transit,2.7565972,0.03966,13.63,324.1866,0.703,,1650,82.83,6015,1.28,1.09
WASP-26 b,WASP-26,Transit,2.75659747,,,,,,,82.8,5950,1.34,1.12
WASP-26 b,WASP-26,Transit,2.7565972,0.03997,14.796,329.90754,0.56,0.0039,,82.5,5950,1.34,1.12
WASP-26 b,WASP-26,Transit,2.7565963,,,,,,,,5950,1.34,1.12
WASP-26 b,WASP-26,Transit,2.7566004,0.03985,14.359,326.715,0.649,0,,82.91,5939,1.3,1.11
WASP-26 b,WASP-26,Transit,2.75673949,,13.804,,,,1509,,6034,1.28,
WASP-28 b,WASP-28,Transit,3.40883458,,,,,,,,,,
WASP-28 b,WASP-28,Transit,3.40884,0.0445,15.177,285.717,,,1473,87.98,6084,1.12,1.01
WASP-28 b,WASP-28,Transit,3.4088353,,,,,,,,6150,1.09,1.02
WASP-28 b,WASP-28,Transit,3.40883,0.04465,13.597,287.95398,0.629,0.058,,88.61,6150,1.09,1.02
WASP-28 b,WASP-28,Transit,3.40883,0.04469,13.597,288.26,0.676,0,1468,88.61,6150,1.09,1.02
WASP-28 b,WASP-28,Transit,3.40883502,,,,,,,88.3,6150,1.09,1.02
WASP-28 b,WASP-28,Transit,3.40883495,0.0442,13.664,282.54945,0.65116,0,1456,88.514,,1.08,0.99
WASP-28 b,WASP-28,Transit,3.4088387,0.04464,14.011,294.62841,0.63,,,88.35,,1.08,
WASP-28 b,WASP-28,Transit,3.408833,,14.263,,,,1430,,6134,1.11,
WASP-29 b,WASP-29,Transit,3.9227138,,,,,,,,4800,0.79,0.77
WASP-29 b,WASP-29,Transit,3.92271183,,,,,,,89.2,4800,0.81,0.82
WASP-29 b,WASP-29,Transit,3.92271159,,,,,,,,,,
WASP-29 b,WASP-29,Transit,3.9227122,,7.232,,,,1091,,4800,0.64,
WASP-29 b,WASP-29,Transit,3.9227124,,,,,,,,4800,0.81,0.82
WASP-29 b,WASP-29,Transit,3.9227186,0.04566,8.878,77.86835,0.61,0.059,,88.8,4800,0.81,0.82
WASP-29 b,WASP-29,Transit,3.922727,0.0457,8.878,77.547,0.65,0.03,,88.8,4800,0.81,0.82
WASP-29 b,WASP-29,Transit,3.92273,,8.631,73.1009,,0.03,,88.8,4800,0.79,0.77
WASP-29 b,WASP-29,Transit,3.9227186,0.04565,8.698,77.55052,0.7,,970,89.17,,0.81,
WASP-3 b,WASP-3,Transit,1.8468355,0.0315,15.693,629.3034,0.95,0.003,,84.06,6400,1.36,1.23
WASP-3 b,WASP-3,Transit,1.846835,0.03187,16.298,654.7298,0.89,,2028,84.1,6400,1.38,1.26
WASP-3 b,WASP-3,Transit,1.846834,0.0317,14.684,559.3808,1.03,,1960,84.4,6400,1.31,1.24
WASP-3 b,WASP-3,Transit,1.84683515,,,,,,,,,,
WASP-3 b,WASP-3,Transit,1.8468351,0.03182,15.872,600.6987,0.822,0.0058,,83.72,6400,1.37,1.26
WASP-3 b,WASP-3,Transit,1.846835,0.03151,14.5,559.357,1.037,0,,84.93,6352,1.36,1.26
WASP-3 b,WASP-3,Transit,1.8468351,,,,,,,84.15,6400,1.31,1.24
WASP-3 b,WASP-3,Transit,1.8468373,,15.524,559.36,,0,,84.15,,1.35,1.24
WASP-3 b,WASP-3,Transit,,,,617.86152,,0.0066,,,,,1.2
WASP-3 b,WASP-3,Transit,1.8468373,0.03185,15.872,645.1949,0.89,,2020,83.72,6400,1.37,1.26
WASP-3 b,WASP-3,Transit,1.84683,,15.917,772.3269,,0,,85.06,6400,1.44,1.62
WASP-3 b,WASP-3,Transit,1.8468345,,16.401,,,,1825,,6352,1.36,
WASP-3 b,WASP-3,Transit,1.84683511,,,,,,,,6400,1.31,1.24
WASP-31 b,WASP-31,Transit,3.4058875,,,,,,,84.41,6302,1.25,1.16
WASP-31 b,WASP-31,Transit,3.4,,17.374,152.5584,,,1580,,6217,1.27,1.2
WASP-31 b,WASP-31,Transit,3.40588719,,,,,,,,,,
WASP-31 b,WASP-31,Transit,,,,,,,1575,,6217,1.27,1.2
WASP-31 b,WASP-31,Transit,3.405886,0.04663,17.363,155.41887,0.163,0.047,,84.41,6300,1.25,1.17
WASP-31 b,WASP-31,Transit,3.4058841,,,,,,,,6302,1.25,1.16
WASP-31 b,WASP-31,Transit,3.405909,0.04657,17.228,151.92274,,0,,84.54,6300,1.24,1.16
WASP-31 b,WASP-31,Transit,3.4059095,,,,,,,,6302,1.25,1.16
WASP-31 b,WASP-31,Transit,3.4058883,,16.885,,,,1307,,6302,1.27,
WASP-31 b,WASP-31,Transit,3.4059096,0.04659,17.363,151.916,0.172,0,,84.41,6302,1.25,1.16
WASP-32 b,WASP-32,Transit,2.718659,0.0394,13.227,1144.14,2.926,0.018,,85.3,6100,1.11,1.1
WASP-32 b,WASP-32,Transit,2.718659,,13.339,1144.188,,0.018,,85.3,6100,,1.1
WASP-32 b,WASP-32,Transit,2.7186256,,12.454,,,,1388,,6427,1.03,
WASP-32 b,WASP-32,Transit,2.71866151,,,,,,,,,,
WASP-32 b,WASP-32,Transit,2.71866,,10.761,835.8929,,0,,85.1,6140,0.95,0.72
WASP-32 b,WASP-32,Transit,2.7186591,0.03904,12.33,1109.2267,3.24,0.004,,85.1,6140,1.09,1.07
WASP-32 b,WASP-32,Transit,2.7186631,,,,,,,,6100,1.11,1.1
WASP-32 b,WASP-32,Transit,2.71866201,,,,,0.018,,85.3,6100,1.11,1.1
WASP-33 b,WASP-33,Transit,1.2198669,0.02555,16.78,1303,,,,87.67,7430,1.44,1.5
WASP-33 b,WASP-33,Transit,1.21986983,,17.934,371.8611,,0,,87.67,7308,1.55,1.85
WASP-33 b,WASP-33,Transit,1.21987,0.0239,17.856,665.21819,0.689,,2782,86.63,7430,1.44,1.5
WASP-33 b,WASP-33,Transit,1.21983821,,18.218,,,,2511,,7398.5,1.6,
WASP-33 b,WASP-33,Transit,1.21987089,,,,,,,,7400,,
WASP-33 b,WASP-33,Transit,1.2198707,,,,,,,,,,
WASP-33 b,WASP-33,Transit,,,,,,,,86.61,7308,1.6,1.65
WASP-33 b,WASP-33,Transit,,,,,,,,88.695,7308,1.6,1.65
WASP-33 b,WASP-33,Transit,1.21987016,0.0259,18.82,1042.4824,0.86,0,2723,86.2,7430,,
WASP-33 b,WASP-33,Transit,1.2198675,,,,,,,87.9,7308,1.6,1.65
WASP-34 b,WASP-34,Transit,4.3176782,0.0524,13.675,187.51,0.45,0.038,1250,85.2,5700,0.93,1.01
WASP-34 b,WASP-34,Transit,4.3176779,,,181.1631,,0.0109,,,,,1.01
WASP-34 b,WASP-34,Transit,4.3176782,0.0521,13.675,185.29489,0.412,0.025,,85.2,5700,0.93,1.01
WASP-34 b,WASP-34,Transit,4.31768411,,,,,0.038,,85.2,5700,0.93,1.01
WASP-34 b,WASP-34,Transit,4.317687,,,,,,,,,,
WASP-34 b,WASP-34,Transit,4.31768,,11.209,177.9848,,0.04,,85.2,5700,0.91,0.96
WASP-34 b,WASP-34,Transit,4.3176859,,13.393,,,,1084,,5700,1.11,
WASP-35 b,WASP-35,Transit,3.1615699,,,,,,,,5990,1.09,1.07
WASP-35 b,WASP-35,Transit,3.161575,0.04317,14.796,228.828,0.426,0,,87.96,5990,1.09,1.07
WASP-35 b,WASP-35,Transit,3.1615685,,,,,,,,,,
WASP-35 b,WASP-35,Transit,3.16156853,,,,,,,88,5990,1.09,1.07
WASP-35 b,WASP-35,Transit,3.1615697,,14.862,,,,1338,,6072,1.1,
WASP-35 b,WASP-35,Transit,3.16157,,,,,,,,5990,1.08,1.05
WASP-35 b,WASP-35,Transit,3.16158,,14.572,225.6593,,0,,87.96,5990,1.08,1.05
WASP-35 b,WASP-35,Transit,3.161575,0.04313,14.796,222.79883,0.378,0.028,,87.96,5990,1.09,1.07
WASP-36 b,WASP-36,Transit,1.53736596,0.02677,14.874,750.39663,1.26,,1733,83.15,5959,0.98,1.08
WASP-36 b,WASP-36,Transit,1.53736541,,,,,,,,5959,0.95,1.04
WASP-36 b,WASP-36,Transit,1.5373639,0.02641,14.908,729.41985,1.298,,,83.62,,0.96,
WASP-36 b,WASP-36,Transit,1.53736449,,13.754,,,,1566,,5959,0.96,
WASP-36 b,WASP-36,Transit,1.53736561,,,,,,,,,,
WASP-36 b,WASP-36,Transit,1.5373653,0.02643,14.359,731.932,1.458,0,,83.61,5959,0.95,1.04
WASP-36 b,WASP-36,Transit,1.5373656,,,,,,,83.15,5959,0.95,1.04
WASP-36 b,WASP-36,Transit,1.53736423,0.02643,14.359,726.55938,1.353,0,1724,83.61,5880,,
WASP-36 b,WASP-36,Transit,1.5373653,0.02643,14.359,729.73768,1.354,0.019,,83.61,5900,0.95,1.04
WASP-37 b,WASP-37,Transit,3.5774793,,,,,,,,5800,1,0.93
WASP-37 b,WASP-37,Transit,3.5774807,,,,,,,,5849.09,1.06,1.06
WASP-37 b,WASP-37,Transit,3.57718909,,13.507,,,,1232,,5849.09,1.06,
WASP-37 b,WASP-37,Transit,3.5774801,,,,,,,,,,
WASP-37 b,WASP-37,Transit,3.57747894,,,,,,,88.8,5800,1,0.93
WASP-37 b,WASP-37,Transit,3.577469,0.0446,13.002,572.07,1.53,0,,88.82,5800,1,0.93
WASP-37 b,WASP-37,Transit,3.577469,0.0447,13.002,546.6676,1.43,0.052,,88.82,5800,1,0.93
WASP-38 b,WASP-38,Transit,6.8718851,,,,,0.031,,89.7,6150,1.33,1.2
WASP-38 b,WASP-38,Transit,6.871815,0.07584,12.218,841.61384,2.54,0.0278,,89.5,6180,1.35,1.23
WASP-38 b,WASP-38,Transit,6.87188,,13.787,1093.3352,,0.03,,89.5,6180,1.52,1.76
WASP-38 b,WASP-38,Transit,6.9,0.076,12.3,858.1,2.1,0,1250,,6200,,
WASP-38 b,WASP-38,Transit,6.87188,0.0758,12.218,861.3193,,0.028,,89.5,,1.35,1.23
WASP-38 b,WASP-38,Transit,6.871815,0.07522,12.263,855.245,2.74,0.0314,,88.69,6150,1.33,1.2
WASP-38 b,WASP-38,Transit,,,,859.73015,,0.0329,,,,,1.23
WASP-38 b,WASP-38,Transit,6.8718897,,,,,,,,,,
WASP-39 b,WASP-39,Transit,4.0552765,0.04858,14.93,89.94589,0.16,,,87.75,,0.92,
WASP-39 b,WASP-39,Transit,4.05527999,,,,,,,87.93,5326.6,1.01,0.92
WASP-39 b,WASP-39,Transit,4.06,,14.235,88.9924,,,1120,,5326.6,1.01,0.92
WASP-39 b,WASP-39,Transit,,,,,,,1117,,5326.6,1.01,0.92
WASP-39 b,WASP-39,Transit,4.0552941,0.04828,14.336,89.31023,0.167,,1166,87.32,5485,0.94,0.91
WASP-39 b,WASP-39,Transit,4.055259,0.0486,14.235,88.989,0.186,0,,87.83,5400,0.9,0.93
WASP-39 b,WASP-39,Transit,4.0552947,0.04859,14.235,87.40325,0.166,0.048,,87.83,5400,0.9,0.93
WASP-39 b,WASP-39,Transit,4.05486955,,15.545,,,,1076,,5326.6,1.01,
WASP-39 b,WASP-39,Transit,4.05527892,,,,,,,,,,
WASP-39 b,WASP-39,Transit,,,15.244,,,,,,5326.6,1.01,0.92
WASP-39 b,WASP-39,Transit,4.05528043,,,,,,,87.75,5400,0.9,0.93
WASP-39 b,WASP-39,Transit,4.0552947,,,,,0,,87.78,5326.6,1.01,0.92
WASP-4 b,WASP-4,Transit,1.33823204,,,,,,1700,87.63,5504,0.89,0.97
WASP-4 b,WASP-4,Transit,1.33823137,,,,,,,,,,
WASP-4 b,WASP-4,Transit,1.3382315,,,,,,,,5400,0.89,0.86
WASP-4 b,WASP-4,Transit,1.33823162,,,,,,,,5504,0.89,0.97
WASP-4 b,WASP-4,Transit,1.33823139,,,,,,,89.1,,,
WASP-4 b,WASP-4,Transit,1.33823144,0.02318,15.289,396.96967,0.612,,1673,89,5540,0.91,0.93
WASP-4 b,WASP-4,Transit,1.33823251,,14.908,386.48128,,0,1664,86.85,5436,0.92,0.89
WASP-4 b,WASP-4,Transit,1.3382299,0.0232,15.031,397.2875,,0.0182,,89.47,5500,0.9,0.93
WASP-4 b,WASP-4,Transit,1.33823187,0.02312,15.838,393.139,0.774,0,,88.8,5504,0.89,0.97
WASP-4 b,WASP-4,Transit,1.3382315,0.02307,15.211,393.15571,0.65835,,1661,89,5500,0.91,0.91
WASP-4 b,WASP-4,Transit,,,,368.36497,,0.0034,,,,,0.92
WASP-4 b,WASP-4,Transit,1.3382315,0.02329,15.368,409.68287,0.665,,1662,89,5500,0.91,0.94
WASP-4 b,WASP-4,Transit,1.33823,,14.908,375.0394,,0,,89.47,5500,0.9,0.87
WASP-4 b,WASP-4,Transit,1.33823162,0.02287,14.908,371.8611,0.61,0.0033,,86.8,5436,0.92,0.89
WASP-4 b,WASP-4,Transit,1.33823147,0.0226,14.807,376.94638,,0,,89.06,5400,0.89,0.86
WASP-4 b,WASP-4,Transit,1.33823204,,15.637,,,0,,88.52,,0.91,
WASP-4 b,WASP-4,Transit,1.33823144,,,,,,,,,,
WASP-4 b,WASP-4,Transit,1.33823136,,14.854,,,,1498,,5436,0.89,
WASP-41 b,WASP-41,Transit,3.052401,0.04022,13.451,299.07803,0.672,0.12,,87.7,5450,0.9,0.93
WASP-41 b,WASP-41,Transit,3.052404,0.04,13.227,298.7602,0.74,0.026,1244,89.4,5545,0.87,0.93
WASP-41 b,WASP-41,Transit,3.05240175,,,,,,,88.7,5450,0.9,0.93
WASP-41 b,WASP-41,Transit,3.05240197,,,,,,,,,,
WASP-41 b,WASP-41,Transit,3.05240154,0.041,13.204,310.51991,0.742,,1242,88.7,5546,0.89,0.99
WASP-41 b,WASP-41,Transit,3.0524018,,13.759,,,,1199,,5545,0.88,
WASP-41 b,WASP-41,Transit,3.0524,,12.33,270.1555,,0,,89.4,5545,0.83,0.81
WASP-41 b,WASP-41,Transit,3.052401,0.0402,13.451,292.391,0.665,0,,87.7,5450,0.9,0.93
WASP-41 c,WASP-41,Radial Velocity,421,1.07,,,,0.294,241,,5545,0.87,0.93
WASP-42 b,WASP-42,Transit,4.9816816,,,,,,,88,5200,0.86,0.88
WASP-42 b,WASP-42,Transit,4.9816819,,,,,,,,5315,0.89,0.95
WASP-42 b,WASP-42,Transit,4.9816872,0.0548,11.915,159.23283,0.514,0.062,,88.3,5200,0.85,0.88
WASP-42 b,WASP-42,Transit,4.9816872,0.0548,12.106,158.908,0.528,0.06,,88.25,5200,0.86,0.88
WASP-42 b,WASP-42,Transit,4.98168178,,,,,,,,,,
WASP-42 b,WASP-42,Transit,4.9816784,,10.78,,,,953,,5315,0.79,
WASP-42 b,WASP-42,Transit,4.9816819,0.0561,12.576,167.49641,0.464,,1021,88,5315,0.89,0.95
WASP-43 b,WASP-43,Transit,0.81347436,,,,,0,,82.1,4124,0.76,0.65
WASP-43 b,WASP-43,Transit,0.81347409,,,,,0,,81.92,4124,0.76,0.65
WASP-43 b,WASP-43,Transit,0.81347753,,,,,0,,82.149,4124,0.76,0.65
WASP-43 b,WASP-43,Transit,0.81347398,,,,,,,82.11,4124,0.76,0.65
WASP-43 b,WASP-43,Transit,0.81347398,0.01504,11.276,635.02434,2.43,0,1427,82.109,4500,0.65,0.69
WASP-43 b,WASP-43,Transit,0.8,0.014,10.42,572.1,2.9,0,1350,,4400,,
WASP-43 b,WASP-43,Transit,0.81347406,,,,,,,82.11,4400,0.6,0.58
WASP-43 b,WASP-43,Transit,0.81347437,0.01528,11.613,651.5515,2.28,0.0062,,82.33,4400,0.67,0.72
WASP-43 b,WASP-43,Transit,0.81347414,,,,,,,,4400,0.6,0.58
WASP-43 b,WASP-43,Transit,0.8134749,,,,,,,,4400,0.6,0.58
WASP-43 b,WASP-43,Transit,0.81347363,,13.16,,,,1303,,4400,0.76,
WASP-43 b,WASP-43,Transit,0.81347404,,,,,,,,,,
WASP-43 b,WASP-43,Transit,0.813475,0.0142,10.424,565.714,2.939,0,,82.6,4400,0.6,0.58
WASP-44 b,WASP-44,Transit,2.42381131,,,,,,,,5410,,
WASP-44 b,WASP-44,Transit,2.4238039,0.03473,12.778,282.539,0.811,0,,86.02,5410,0.93,0.95
WASP-44 b,WASP-44,Transit,2.423812,0.03443,10.985,275.55861,1.14,0,1304,86.59,5410,,
WASP-44 b,WASP-44,Transit,2.4238133,0.03474,12.778,279.05474,0.74,0.068,,86.02,5400,0.93,0.95
WASP-44 b,WASP-44,Transit,2.42381058,,,,,,,,,,
WASP-44 b,WASP-44,Transit,2.4238039,,,,,,,,5420,0.91,0.94
WASP-44 b,WASP-44,Transit,2.423804,0.03453,12.33,276.5121,0.811,,1337,86.21,5420,0.91,0.94
WASP-44 b,WASP-44,Transit,2.42381127,,,,,,,86,5410,0.93,0.95
WASP-44 b,WASP-44,Transit,2.42382258,,12.256,,,,1235,,5410,0.93,
WASP-44 b,WASP-44,Transit,2.4238107,,,,,,,,5410,0.93,0.95
WASP-45 b,WASP-45,Transit,3.1260876,0.04054,13.002,318.78349,0.79,0.043,,84.47,5100,0.94,0.91
WASP-45 b,WASP-45,Transit,3.12607728,,,,,,,84.69,5140,0.94,0.91
WASP-45 b,WASP-45,Transit,3.1260777,,,,,,,,5140,0.94,0.91
WASP-45 b,WASP-45,Transit,3.126089,0.03963,10.604,306.38812,1.418,,1153,85.02,5150,0.85,0.85
WASP-45 b,WASP-45,Transit,3.1260876,0.04054,13.002,320.041,0.851,0,,84.47,5140,0.94,0.91
WASP-45 b,WASP-45,Transit,3.12607402,,,,,,,,,,
WASP-45 b,WASP-45,Transit,3.126096,0.0405,11.119,318.46566,1.275,,1170,84.686,5100,0.92,0.9
WASP-45 b,WASP-45,Transit,3.12609,,12.778,330.5432,,0,,84.47,5140,0.96,0.95
WASP-45 b,WASP-45,Transit,3.12607775,,10.926,,,,1086,,5100,0.87,
WASP-46 b,WASP-46,Transit,1.43037,0.02448,14.684,667.733,1.25,0,,82.63,5620,0.92,0.96
WASP-46 b,WASP-46,Transit,1.43037,0.02334,13.159,603.877,1.45,0.022,,82.8,5600,0.86,0.83
WASP-46 b,WASP-46,Transit,1.43037192,,,,,,,82.8,5620,0.92,0.96
WASP-46 b,WASP-46,Transit,1.43037222,,,,,,,,5620,0.92,0.96
WASP-46 b,WASP-46,Transit,1.43036763,0.02335,13.159,607.0553,1.467,,1636,82.8,5600,0.86,0.83
WASP-46 b,WASP-46,Transit,1.43036914,,13.25,,,,1526,,5600,0.89,
WASP-46 b,WASP-46,Transit,1.43037254,,,,,,,,,,
WASP-46 b,WASP-46,Transit,1.4303707,,,,,,,,5600,0.86,0.83
WASP-47 b,WASP-47,Transit,4.15810694,,,,,,,,5576,1.11,0.98
WASP-47 b,WASP-47,Transit,4.15917,,13.18,,,,,,,1.19,
WASP-47 b,WASP-47,Transit,4.1591496,,,,,,,,5350,1.15,1.08
WASP-47 b,WASP-47,Transit,4.1591488,,12.162,,,,1259,,5576,1.11,
WASP-47 b,WASP-47,Transit,4.1591492,,12.64,363.6,0.989,,,,5552,1.14,1.04
WASP-47 b,WASP-47,Transit,4.15914806,,,,,,,,,,
WASP-47 b,WASP-47,Transit,4.15915035,,,,,,,88.98,5350,1.15,1.08
WASP-47 b,WASP-47,Transit,4.159151,,12.86,374,,0.0006,,89,,1.16,1.06
WASP-47 b,WASP-47,Transit,4.1591287,,12.77,341,,,,89.03,5576,1.15,1.04
WASP-47 b,WASP-47,Transit,4.16071,0.052,12.9,383,0.98,0.0028,,89.02,5576,1.16,1.11
WASP-47 b,WASP-47,Transit,4.1591289,,12.63,363.1,0.993,,,88.98,5552,1.14,1.04
WASP-47 b,WASP-47,Transit,4.1,,,,,,,,5565,,
WASP-47 b,WASP-47,Transit,4.1591409,0.051,,359.1479,0.94,0.026,1275,,5576,1.15,1.03
WASP-47 b,WASP-47,Transit,4.159221,0.0507,12.3,,,,,,5950,1.1,1
WASP-47 b,WASP-47,Transit,4.1591399,0.052,12.89,362.311,0.984,0.11,,89.2,5350,1.15,1.08
WASP-47 b,WASP-47,Transit,4.1591282,,12.71,370,0.99,,,,5576,1.11,0.98
WASP-47 b,WASP-47,Transit,4.1591739,,10.5,,,,,,5427,0.86,
WASP-47 c,WASP-47,Radial Velocity,589.57,,,447,,0.264,,90,,1.16,1.06
WASP-47 c,WASP-47,Radial Velocity,588.8,,,,,0.295,,,5552,1.14,1.04
WASP-47 c,WASP-47,Radial Velocity,580.7,1.41,,500,,0.36,,87,5576,1.16,1.11
WASP-47 c,WASP-47,Radial Velocity,572,1.36,,,,0.13,247,,5576,1.15,1.03
WASP-47 c,WASP-47,Radial Velocity,588.5,1.393,,,,0.296,,,5552,1.14,1.04
WASP-47 d,WASP-47,Transit,9.03081,,3.63,15.2,,,,89.36,5576,1.15,1.04
WASP-47 d,WASP-47,Transit,9.030501,,3.65,15.5,,0.001,,89.23,,1.16,1.06
WASP-47 d,WASP-47,Transit,9.03055,,3.567,14.2,1.72,0.01,,,5552,1.14,1.04
WASP-47 d,WASP-47,Transit,9.028052,,3.3,,,,,89.5,5565,1.1,
WASP-47 d,WASP-47,Transit,9.0305419,,3.06,,,,,,5427,0.86,
WASP-47 d,WASP-47,Transit,9.03079,,3.6,10.4,1.2,,,,5576,1.11,0.98
WASP-47 d,WASP-47,Transit,9.03164,0.085,3.18,,,,,,5950,1.1,1
WASP-47 d,WASP-47,Transit,9.03077,,3.576,13.1,1.58,0.014,,89.32,5552,1.14,1.04
WASP-47 d,WASP-47,Transit,9.095,0.088,3.71,16.8,1.8,0.006,,89.22,5576,1.16,1.11
WASP-47 e,WASP-47,Transit,0.7895933,,1.808,6.77,6.29,,,,5552,1.14,1.04
WASP-47 e,WASP-47,Transit,0.789597,,1.829,22,,,,87,5576,1.15,1.04
WASP-47 e,WASP-47,Transit,0.789655,,1.8,,,,,89.6,5565,1.1,
WASP-47 e,WASP-47,Transit,0.789693,,1.79,,,,,81.8,5565,1.15,
WASP-47 e,WASP-47,Transit,0.78961301,,1.5,,,,,,5427,0.86,
WASP-47 e,WASP-47,Transit,0.78961,,1.83,9,,0,,86.73,,1.16,1.06
WASP-47 e,WASP-47,Transit,0.789518,0.01673,1.64,,,,,,5950,1.1,1
WASP-47 e,WASP-47,Transit,0.789592,,1.81,6.83,6.35,,,85.98,5552,1.14,1.04
WASP-47 e,WASP-47,Transit,0.789636,0.0173,1.82,9.1,8.5,0.03,,86.2,5576,1.16,1.11
WASP-47 e,WASP-47,Transit,0.789593,,1.817,12.2,11.2,,,,5576,1.11,0.98
WASP-47 e,WASP-47,Transit,0.79,,1.773,6.91,6.8,,,,5552,1.12,1.01
WASP-48 b,WASP-48,Transit,2.14363592,0.0344,18.719,312.74472,0.263,0,2035,80.09,5920,,
WASP-48 b,WASP-48,Transit,2.14363544,0.0332,15.65,288,0.415,0,1956,81.99,6000,1.52,1.06
WASP-48 b,WASP-48,Transit,2.14363,,16.814,254.264,,0,,80.09,5920,1.58,0.88
WASP-48 b,WASP-48,Transit,2.14363679,,,,,,,82,5920,1.75,1.19
WASP-48 b,WASP-48,Transit,2.14363,,,,,,,,5920,1.58,0.88
WASP-48 b,WASP-48,Transit,2.14363601,,,,,,,,,,
WASP-48 b,WASP-48,Transit,2.143634,0.03444,18.719,311.46,0.279,0,,80.09,5920,1.75,1.19
WASP-48 b,WASP-48,Transit,2.1436364,,18.054,,,,1949,,6148,1.77,
WASP-48 b,WASP-48,Transit,2.1436364,,,,,,,,5920,1.75,1.19
WASP-48 b,WASP-48,Transit,2.143634,0.03449,18.719,327.68273,0.275,0.014,,80.09,6000,1.75,1.19
WASP-49 b,WASP-49,Transit,2.7817362,0.03873,13.428,126.81417,0.288,0,1400,84.48,5600,1.04,1
WASP-49 b,WASP-49,Transit,2.7817366,,,,,,,,5600,0.98,0.94
WASP-49 b,WASP-49,Transit,2.7817387,0.0379,12.498,126.81417,0.356,0.026,,84.89,5600,0.98,0.94
WASP-49 b,WASP-49,Transit,2.78174,,12.442,117.5971,,0,,84.89,5600,0.97,0.92
WASP-49 b,WASP-49,Transit,2.78173691,,,,,,,84.48,5600,0.98,0.94
